date,pm25,pm10,o3,no2,so2,co
2014-09-07,201.0,42.0,48.0,12.0,1.0,4.0
2014-09-08,42.0,65.0,88.0,23.0,3.0,6.0
2014-09-09,106.0,77.0,95.0,28.0,9.0,11.0
2014-09-10,143.0,97.0,53.0,37.0,12.0,16.0
2014-09-11,170.0,62.0,27.0,27.0,3.0,7.0
2014-09-12,156.0,70.0,81.0,25.0,4.0,6.0
2014-09-13,146.0,57.0,22.0,28.0,2.0,5.0
2014-09-14,110.0,41.0,36.0,22.0,2.0,3.0
2014-09-15,63.0,73.0,16.0,35.0,3.0,4.0
2014-09-16,112.0,52.0,24.0,29.0,2.0,4.0
2014-09-17,118.0,72.0,59.0,34.0,2.0,32.0
2014-09-18,145.0,93.0,57.0,29.0,4.0,11.0
2014-09-19,168.0,97.0,90.0,30.0,3.0,17.0
2014-09-20,192.0,92.0,52.0,25.0,10.0,24.0
2014-09-21,179.0,87.0,16.0,33.0,9.0,21.0
2014-09-22,176.0,64.0,8.0,22.0,1.0,9.0
2014-09-23,139.0,37.0,34.0,16.0,1.0,9.0
2014-09-24,87.0,87.0,26.0,27.0,1.0,11.0
2014-09-25,187.0,90.0,25.0,29.0,7.0,13.0
2014-09-26,198.0,36.0,34.0,25.0,1.0,5.0
2014-09-27,97.0,90.0,23.0,34.0,5.0,11.0
2014-09-28,153.0,61.0,30.0,21.0,2.0,7.0
2014-09-29,116.0,46.0,18.0,20.0,4.0,4.0
2014-09-30,77.0,91.0,1.0,30.0,2.0,8.0
2014-10-01,164.0,69.0,16.0,23.0,3.0,8.0
2014-10-02,142.0,97.0,6.0,30.0,3.0,17.0
2014-10-03,192.0,79.0,24.0,21.0,2.0,11.0
2014-10-04,168.0,35.0,31.0,19.0,1.0,7.0
2014-10-05,96.0,43.0,32.0,25.0,1.0,4.0
2014-10-06,91.0,112.0,35.0,45.0,6.0,11.0
2014-10-07,201.0,194.0,12.0,62.0,4.0,20.0
2014-10-08,346.0,225.0,30.0,57.0,2.0,22.0
2014-10-09,415.0,180.0,58.0,49.0,7.0,20.0
2014-10-10,376.0,93.0,27.0,32.0,4.0,14.0
